SRA experiment	BioSample
SRX2705419	SAMN06684320
SRX4949874	SAMN10341398
ERX3225473	SAMEA5396145
SRX11386260	SAMN20125557
SRX1528534	SAMN04397492
DRX337650	SAMD00446115
SRX129066	SAMN00811099
SRX150541	SAMN01001001
SRX150413	SAMN01000874
SRX037430	SAMN00189621
SRX4949877	SAMN10341404
SRX4949878	SAMN10341403
SRX13811040	SAMN25042763
SRX13811041	SAMN25042764
SRX1003362	SAMN03496742
ERX4521825	SAMEA7306481
SRX1036365	SAMN03704075
SRX10187768	SAMN13691205
SRX1528536	SAMN04397494
SRX1048484	SAMN03761465
SRX1294674	SAMN04121891
SRX9317479	SAMN16484541
SRX1164303	SAMN04011592
SRX13776881	SAMN24962863
SRX10029787	SAMN17795761
SRX20687273	SAMN35749788
SRX11712857	SAMN20525594
SRX1016679	SAMN03580931
SRX2381354	SAMN06068109
SRX4779613	SAMN10148208
SRX2323906	SAMN05971799
SRX3460915	SAMN08159341
SRX3586365	SAMN08377046
SRX1735650	SAMN04913620
SRX11145723	SAMN19707265
ERX2994703	SAMEA5168026
SRX095397	SAMN00715096
SRX18259599	SAMN31715304
ERX1035594	SAMEA3481920
SRX1048486	SAMN03761467
SRX10820553	SAMN19075495
SRX11783312	SAMN20813042
SRX865417	SAMN03329464
SRX1091321	SAMN03853300
ERX3225462	SAMEA5396134
SRX10001322	SAMN17734358
SRX11522903	SAMN20350184
SRX12877694	SAMN22820494
ERX3824030	SAMEA6479264
SRX17863688	SAMN31253344
SRX12877672	SAMN22820472
SRX1902743	SAMN05364401
SRX3395857	SAMN08029100
SRX2961557	SAMN07283758
SRX11712743	SAMN20573629
SRX2187093	SAMN05806608
SRX8002111	SAMN14448283
DRX227441	SAMD00235409
SRX8517981	SAMN15197979
SRX12877696	SAMN22820496
SRX10760260	SAMN18987053
SRX7556003	SAMN13854945
SRX2548279	SAMN06318298
SRX11783318	SAMN20813049
SRX10760262	SAMN18987051
SRX11783321	SAMN20813055
ERX1035596	SAMEA3481922
SRX1134151	SAMN03959857
ERX1035598	SAMEA3481924
SRX11783333	SAMN20813067
SRX12877699	SAMN22820499
SRX1085067	SAMN03846955
SRX10760258	SAMN18987055
SRX10592137	SAMN18723004
DRX171276	SAMD00173566
SRX029597	SAMN00116838
DRX335592	SAMD00442073
DRX044423	SAMD00043216
SRX113177	SAMN00768900
SRX10942311	SAMN19275176
ERX2461407	SAMEA104717427
SRX8604789	SAMN15353882
SRX10475004	SAMN18513381
SRX037118	SAMN00189410
SRX10478108	SAMN18513702
SRX069095	SAMN00622220
SRX10476770	SAMN18514286
ERX3243055	SAMEA5417257
SRX6958344	SAMN12984355
SRX12571267	SAMN22215912
SRX040399	SAMN00204050
SRX18327461	SAMN31815261
SRX5233164	SAMN10719385
SRX11783336	SAMN20813070
SRX1048492	SAMN03761473
SRX9534424	SAMN16839635
SRX088858	SAMN00691472
SRX201251	SAMN01780190
SRX682375	SAMN02996876
SRX18272274	SAMN31739615
SRX10344557	SAMN18314178
ERX1035600	SAMEA3481926
ERX1087819	SAMEA2396202
SRX11712841	SAMN20525602
SRX155522	SAMN01057073
DRX036834	SAMD00034920
SRX5604560	SAMN11288691
SRX12877673	SAMN22820473
SRX014779	SAMN00006882
ERX1276009	SAMEA3488320
SRX14491814	SAMN26749143
SRX15014796	SAMN27914994
SRX10270335	SAMN18208025
SRX4949882	SAMN10341399
SRX2733365	SAMN06701849
SRX10169932	SAMN18058259
SRX4202753	SAMN09405332
SRX10198027	SAMN18100542
SRX9998152	SAMN17730115
SRX3194436	SAMN07661069
SRX1440173	SAMN04283617
SRX10474936	SAMN18513386
SRX2990553	SAMN07333496
SRX3623416	SAMN08428787
SRX11094517	SAMN19607931
SRX11094522	SAMN19607927
SRX11094527	SAMN19607986
SRX11094532	SAMN19607981
SRX11094537	SAMN19607976
SRX11661376	SAMN20600917
SRX18540538	SAMN32114836
SRX2531982	SAMN06281649
SRX096356	SAMN00716132
SRX10475673	SAMN18513206
SRX5723720	SAMN11478283
SRX13440874	SAMN24170000
SRX1360799	SAMN04201351
SRX1002797	SAMN03496144
SRX1360803	SAMN04201355
SRX1360811	SAMN04201364
SRX3623420	SAMN08428783
SRX13130622	SAMN23131748
SRX3485293	SAMN08204724
SRX3791904	SAMN08713051
SRX10187464	SAMN18053340
SRX11094542	SAMN19607971
SRX11094547	SAMN19607901
SRX1360823	SAMN04201376
SRX3623411	SAMN08428788
SRX12419643	SAMN21924208
SRX12577294	SAMN22225253
SRX067432	SAMN00622102
ERX302078	SAMEA2171845
SRX15369736	SAMN28544829
SRX10474922	SAMN18513631
SRX11157743	SAMN19729822
SRX12419642	SAMN21924207
SRX11094552	SAMN19607921
SRX1440171	SAMN04283615
SRX11094557	SAMN19607916
SRX11094562	SAMN19607911
ERX181464	SAMEA2042409
SRX2749148	SAMN06770005
SRX1360807	SAMN04201359
SRX10187521	SAMN18053320
SRX11094567	SAMN19607906
SRX718117	SAMN03085520
SRX4394542	SAMN09665692
SRX11208656	SAMN19840794
SRX11094587	SAMN19607954
SRX12144701	SAMN21396340
SRX11094577	SAMN19607961
SRX11094582	SAMN19607963
ERX1025941	SAMEA3470274
SRX3623438	SAMN08428767
SRX8343206	SAMN14925533
SRX3623412	SAMN08428789
SRX3623442	SAMN08428763
SRX2341963	SAMN06010070
SRX2749124	SAMN06770029
SRX1206061	SAMN04040921
SRX3059309	SAMN07448010
SRX2749125	SAMN06770028
SRX1997931	SAMN05509478
SRX8616984	SAMN15368976
SRX1998058	SAMN05509519
SRX18449014	SAMN31972309
SRX18449016	SAMN31972307
SRX2582034	SAMN06372160
SRX155717	SAMN01057452
SRX155725	SAMN01057460
SRX381631	SAMN02404752
SRX8144779	SAMN14648009
SRX1286274	SAMN04110965
SRX10142202	SAMN18016387
ERX334518	SAMEA2234907
ERX2242373	SAMEA3638997
SRX10399316	SAMN18393690
SRX10142198	SAMN18016392
SRX8144784	SAMN14648049
SRX4017879	SAMN09006856
SRX8144799	SAMN14648035
SRX155760	SAMN01057495
SRX128100	SAMN00809355
SRX10001290	SAMN17734276
SRX3285536	SAMN07786166
SRX3285522	SAMN07786180
SRX10205587	SAMN18105876
ERX1790111	SAMEA4534848
SRX8083086	SAMN14560233
SRX4659200	SAMN09991682
SRX1391722	SAMN04219558
SRX3285566	SAMN07786205
SRX4547372	SAMN09810281
SRX100258	SAMN00738200
SRX4404427	SAMN09689463
SRX4404425	SAMN09689465
SRX2020848	SAMN05572260
SRX8520793	SAMN15198547
SRX1131549	SAMN03952685
SRX042343	SAMN00210997
SRX17698134	SAMN31008260
SRX2194256	SAMN05832074
SRX1998148	SAMN05509639
ERX4231865	SAMEA6999475
SRX1280452	SAMN04103866
SRX1280453	SAMN04103867
